# checked-table name	disposition	new make target or task-10 target
version-authority	run	_release-gate-version-authority
aw-repository-stamp	run	check-aw-commit-repo-stamp
cli-tidy	run	check-cli-go-tidy
cli-vcs-release-matrix	run	check-cli-release-vcs-stamps
python-locks	run	test-python-locks
sot-inventories	run	test-sot-source-inventories
vector-provenance	run	test-vector-provenance
federation-error-reference	run	test-federation-error-reference
federation-authority-mutations	run	test-federation-authority-mutations
federation-harness	run	test-federation-harness
cli-reference	run	test-cli-reference
mcp-reference	run	test-mcp-tools-reference
channel-version-equality	run	_release-gate-channel-version
node-dependencies	run	_release-node-deps
release-train-foundation	run	test-release-train
server-unit	run	test-server
awid-unit	run	test-awid
cli-unit	run	test-cli
channel-unit	run	_release-unit-channel
channel-live-name	run	test-channel-name-live-contract
channel-core-unit	run	_release-unit-channel-core
pi-unit	run	_release-unit-pi
a2a-unit	run	test-a2a
go-audit-unit	run	test-go-vulnerability-audit
server-package	run	_release-artifact-server
awid-package	run	_release-artifact-awid-package
awid-image	run	_release-artifact-awid-image
channel-package	run	_release-artifact-channel
pi-package	run	_release-artifact-pi
skills-package-zips	run	_release-artifact-skills
a2a-image	run	_release-artifact-a2a-image
freshness	run	freshness
channel-process-guard	run	test-channel-core-process-guard
oas	run	_release-oas
oas-proof-helpers	run	test-oas-proof-helpers
tmux-guard	run	test-tmux-guard
channel-integration	run	test-channel-integration
oss-user	run	test-e2e
oss-federation	run	test-federation-e2e
cli-library	run	cli-e2e
marketplace-pointer	run	_release-marketplace-pointer
ac-pointer-primary-moves	task-6	test-pointer-adapter-ac-pin
npm-exact-publish	run	test-npm-exact-publish
pypi-exact-publish	run	test-pypi-exact-publish
oci-exact-publish	run	test-oci-exact-publish
node-vulnerability-audit	run	check-node-audit
go-vulnerability-audit	run	check-go-vulnerability-audit
old-adopted-preplan	task-10-delete	test-release-adopted-preplan
old-channel-pi-skew	task-10-delete	test-release-channel-pi-skew
old-driver	task-10-delete	test-release-driver
old-federation-skew	task-10-delete	test-release-federation-skew
old-persisted-state-skew	task-10-delete	test-release-persisted-state-skew
old-receipt-archive	task-10-delete	test-release-receipt-archive
old-receipt-process	task-10-delete	test-release-receipt-process
old-repository-measurement	task-10-delete	test-release-repository-measurement
old-runnerless	task-10-delete	test-release-runnerless
old-cli-server-skew	task-10-delete	test-release-skew-cli-server
